iter	Passed	Remaining
379	615	1003
380	616	1001
381	617	999
382	619	997
383	620	995
384	621	993
385	623	990
386	624	988
387	625	987
388	627	985
389	628	983
390	629	981
391	631	978
392	632	976
393	633	974
394	635	973
395	636	970
396	637	968
397	638	966
398	640	964
399	641	962
400	643	960
401	644	958
402	645	956
403	646	954
404	648	952
405	649	950
406	651	948
407	652	946
408	653	944
409	655	942
410	657	941
411	658	940
412	660	938
413	661	936
414	662	933
415	665	933
416	666	931
417	669	931
418	671	931
419	673	929
420	675	928
421	676	926
422	679	926
423	680	924
424	681	921
425	683	921
426	686	921
427	687	919
428	689	918
429	691	916
430	693	915
431	694	913
432	695	911
433	697	910
434	700	909
435	701	907
436	702	905
437	705	904
438	707	904
439	710	903
440	712	903
441	715	903
442	717	902
443	719	900
444	721	899
445	722	897
446	723	895
447	724	893
448	726	891
449	727	889
450	729	888
451	731	886
452	732	884
453	734	882
454	735	880
455	736	878
456	737	876
457	739	874
458	742	875
459	744	874
460	746	872
461	748	871
462	749	869
463	750	867
464	752	865
465	753	863
466	756	863
467	759	863
468	760	861
469	761	859
470	763	857
471	765	856
472	766	853
473	767	852
474	769	850
475	773	850
476	774	849
477	776	847
478	778	846
479	780	845
480	781	843
481	782	841
482	783	839
483	786	838
484	788	837
485	790	835
486	792	834
487	793	833
488	795	831
489	796	829
490	798	827
491	800	827
492	804	826
493	805	824
494	807	823
495	808	821
496	810	820
497	812	818
498	813	816
499	815	815
500	818	815
501	819	813
502	821	811
503	824	810
504	825	809
505	827	807
506	828	805
507	829	803
508	830	801
509	834	801
510	835	799
511	836	797
512	838	795
513	840	794
514	842	793
515	843	791
516	844	789
517	846	787
518	848	786
519	850	784
520	851	782
521	852	780
522	855	780
523	856	778
524	858	776
525	859	774
526	862	774
527	864	772
528	865	770
529	866	768
530	869	768
531	871	766
532	872	764
533	873	762
534	875	761
535	878	760
536	879	758
537	880	756
538	883	755
539	885	754
540	887	752
541	890	752
542	893	751
543	894	749
544	895	747
545	901	749
546	902	747
547	903	745
548	906	744
549	910	745
550	913	744
551	915	743
552	916	741
553	918	739
554	920	738
555	921	736
556	923	734
557	924	732
558	927	731
559	928	729
560	930	728
561	931	726
562	933	724
563	935	723
564	936	721
565	938	720
566	941	718
567	943	717
568	944	715
569	945	713
570	947	711
571	950	710
572	951	709
573	953	707
574	954	705
575	957	704
576	958	702
577	959	700
578	960	698
579	963	697
580	964	695
581	966	693
582	967	691
583	968	690
584	971	688
585	972	687
586	973	685
587	975	683
588	977	681
589	979	680
590	980	678
591	981	676
592	983	674
593	985	673
594	986	671
595	988	669
596	989	668
597	992	667
598	993	665
599	994	663
600	996	661
601	998	659
602	1000	658
603	1001	656
604	1002	654
605	1003	652
606	1006	651
607	1007	649
608	1009	647
609	1010	645
610	1011	643
611	1014	643
612	1015	641
613	1017	639
614	1018	637
615	1020	636
616	1022	634
617	1023	632
618	1024	630
619	1026	629
620	1029	628
621	1030	626
622	1031	624
623	1033	622
624	1036	621
625	1037	619
626	1038	617
627	1039	616
628	1043	615
629	1044	613
630	1045	611
631	1046	609
632	1048	607
633	1049	606
634	1050	604
635	1052	602
636	1053	600
637	1055	598
638	1056	596
639	1058	595
640	1059	593
641	1061	591
642	1062	589
643	1063	588
644	1065	586
645	1066	584
646	1067	582
647	1070	581
648	1072	580
649	1075	579
650	1078	577
651	1079	576
652	1080	574
653	1082	572
654	1083	570
655	1085	569
656	1086	567
657	1087	565
658	1089	563
659	1090	561
660	1091	559
661	1092	558
662	1094	556
663	1095	554
664	1096	552
665	1097	550
666	1099	548
667	1100	546
668	1101	545
669	1103	543
670	1104	541
671	1105	539
672	1107	537
673	1108	536
674	1109	534
675	1110	532
676	1112	530
677	1113	528
678	1114	526
679	1116	525
680	1117	523
681	1118	521
682	1120	519
683	1121	518
684	1122	516
685	1123	514
686	1125	512
687	1126	510
688	1127	508
689	1128	507
690	1129	505
691	1131	503
692	1132	501
693	1134	500
694	1135	498
695	1136	496
696	1137	494
697	1139	492
698	1140	491
699	1141	489
700	1143	487
701	1145	486
702	1147	484
703	1149	483
704	1151	481
705	1152	479
706	1153	478
707	1154	476
708	1155	474
709	1157	472
710	1158	471
711	1160	469
712	1161	467
713	1163	466
714	1164	464
715	1166	462
716	1167	460
717	1168	458
718	1169	457
719	1171	455
720	1172	453
721	1174	452
722	1175	450
723	1176	448
724	1177	446
725	1179	445
726	1180	443
727	1182	441
728	1183	439
729	1184	438
730	1186	436
731	1187	434
732	1188	433
733	1190	431
734	1191	429
735	1193	428
736	1194	426
737	1196	424
738	1197	422
739	1198	421
740	1200	419
741	1201	417
742	1203	416
743	1204	414
744	1205	412
745	1206	410
746	1209	409
747	1210	407
748	1212	406
749	1213	404
750	1214	402
751	1217	401
752	1218	399
753	1219	397
754	1220	396
755	1222	394
756	1225	393
757	1227	391
758	1228	390
759	1231	388
760	1233	387
761	1234	385
762	1235	383
763	1237	382
764	1240	380
765	1241	379
766	1243	377
767	1245	376
768	1247	374
769	1248	373
770	1251	371
771	1255	370
772	1259	369
773	1262	368
774	1263	366
775	1265	365
776	1267	363
777	1269	362
778	1272	361
779	1273	359
780	1276	357
781	1277	356
782	1279	354
783	1281	353
784	1284	351
785	1286	350
786	1287	348
787	1288	346
788	1291	345
789	1292	343
790	1294	342
791	1296	340
792	1298	339
793	1300	337
794	1301	335
795	1302	333
796	1305	332
797	1306	330
798	1308	329
799	1310	327
800	1311	325
801	1314	324
802	1315	322
803	1316	321
804	1318	319
805	1320	317
806	1321	316
807	1322	314
808	1324	312
809	1327	311
810	1328	309
811	1330	307
812	1331	306
813	1333	304
814	1335	303
815	1336	301
816	1337	299
817	1339	298
818	1343	296
819	1345	295
820	1347	293
821	1351	292
822	1355	291
823	1359	290
824	1363	289
825	1368	288
826	1373	287
827	1376	285
828	1381	284
829	1386	283
830	1390	282
831	1394	281
832	1397	280
833	1401	278
834	1405	277
835	1410	276
836	1413	275
837	1417	274
838	1421	272
839	1426	271
840	1429	270
841	1433	268
842	1436	267
843	1440	266
844	1442	264
845	1443	262
846	1445	261
847	1447	259
848	1448	257
849	1451	256
850	1454	254
851	1455	252
852	1457	251
853	1458	249
854	1461	247
855	1462	246
856	1463	244
857	1465	242
858	1467	240
859	1469	239
860	1470	237
861	1472	235
862	1473	233
863	1476	232
864	1477	230
865	1479	228
866	1480	227
867	1483	225
868	1484	223
869	1485	222
870	1486	220
871	1488	218
872	1491	216
873	1492	215
874	1493	213
875	1495	211
876	1497	210
877	1499	208
878	1500	206
879	1501	204
880	1504	203
881	1505	201
882	1507	199
883	1508	197
884	1510	196
885	1512	194
886	1513	192
887	1515	191
888	1516	189
889	1518	187
890	1520	186
891	1521	184
892	1523	182
893	1525	180
894	1527	179
895	1528	177
896	1529	175
897	1530	173
898	1533	172
899	1534	170
900	1536	168
901	1537	167
902	1538	165
903	1541	163
904	1542	161
905	1543	160
906	1544	158
907	1547	156
908	1549	155
909	1550	153
910	1551	151
911	1552	149
912	1555	148
913	1557	146
914	1558	144
915	1559	143
916	1562	141
917	1563	139
918	1564	137
919	1566	136
920	1567	134
921	1570	132
922	1571	131
923	1572	129
924	1573	127
925	1575	125
926	1576	124
927	1577	122
928	1578	120
929	1580	118
930	1581	117
931	1582	115
932	1584	113
933	1585	112
934	1586	110
935	1588	108
936	1589	106
937	1590	105
938	1592	103
939	1593	101
940	1594	99
941	1595	98
942	1597	96
943	1598	94
944	1600	93
945	1601	91
946	1602	89
947	1604	88
948	1605	86
949	1606	84
950	1607	82
951	1609	81
952	1610	79
953	1611	77
954	1612	75
955	1615	74
956	1617	72
957	1619	71
958	1620	69
959	1621	67
960	1623	65
961	1624	64
962	1626	62
963	1627	60
964	1630	59
965	1632	57
966	1633	55
967	1635	54
968	1637	52
969	1638	50
970	1640	48
971	1641	47
972	1642	45
973	1644	43
974	1645	42
975	1647	40
976	1648	38
977	1649	37
978	1651	35
979	1652	33
980	1654	32
981	1655	30
982	1656	28
983	1658	26
984	1659	25
985	1661	23
986	1662	21
987	1663	20
988	1665	18
989	1666	16
990	1667	15
991	1669	13
992	1670	11
993	1671	10
994	1673	8
995	1674	6
996	1676	5
997	1677	3
998	1678	1
999	1679	0
