iter	RMSE
214	0.4625638029
215	0.4625551719
216	0.4625407173
217	0.4625185222
218	0.462505152
219	0.4624783734
220	0.4624610642
221	0.462440503
222	0.4624023805
223	0.4623735753
224	0.4623468672
225	0.4623036744
226	0.4622856969
227	0.4622456587
228	0.4622293131
229	0.4621859054
230	0.4621784017
231	0.4621541223
232	0.4621453005
233	0.4621274616
234	0.4621047379
235	0.4620744129
236	0.4620348052
237	0.4620114604
238	0.4619955092
239	0.4619627329
240	0.4619555146
241	0.4619220556
242	0.4618931442
243	0.4618861979
244	0.4618517233
245	0.4618464482
246	0.461816315
247	0.4617901171
248	0.4617718998
249	0.4617423939
250	0.4617189646
251	0.4616869957
252	0.4616668592
253	0.4616539998
254	0.4616367588
255	0.461617012
256	0.461586603
257	0.4615595932
258	0.4615291523
259	0.4614994504
260	0.4614893138
261	0.4614653466
262	0.4614526942
263	0.4614417149
264	0.4614235965
265	0.4613965253
266	0.4613794133
267	0.4613683053
268	0.4613400082
269	0.461308754
270	0.4613007331
271	0.4612809016
272	0.4612548133
273	0.461247009
274	0.4612371049
275	0.4612167423
276	0.4611961474
277	0.4611704232
278	0.4611439758
279	0.4611251954
280	0.4611136121
281	0.4611117339
282	0.4611004808
283	0.46107533
284	0.4610525272
285	0.4610380173
286	0.4610221456
287	0.4610014843
288	0.4609773666
289	0.4609534932
290	0.4609411737
291	0.4609265475
292	0.4609027897
293	0.4608801374
294	0.4608548386
295	0.4608486439
296	0.4608402937
297	0.4608134438
298	0.4607953905
299	0.4607876256
300	0.4607649601
301	0.4607580866
302	0.4607384834
303	0.4607231332
304	0.4607066972
305	0.460690002
306	0.4606787527
307	0.4606602092
308	0.4606383154
309	0.4606252536
310	0.460608464
311	0.460589629
312	0.4605684119
313	0.4605482718
314	0.4605421943
315	0.4605394079
316	0.4605104464
317	0.4605028405
318	0.4604846592
319	0.4604720375
320	0.4604561686
321	0.4604475561
322	0.4604433292
323	0.4604228645
324	0.4604134378
325	0.4603850377
326	0.4603671191
327	0.460351348
328	0.4603311522
329	0.4603225582
330	0.4603140917
331	0.4602920776
332	0.4602830182
333	0.4602758585
334	0.4602612772
335	0.4602380863
336	0.4602245494
337	0.4602140845
338	0.4602106542
339	0.4602027753
340	0.4601866728
341	0.4601734344
342	0.4601669041
343	0.4601489157
344	0.460123552
345	0.4601059502
346	0.46008733
347	0.4600773251
348	0.4600625544
349	0.4600547347
350	0.460041061
351	0.4600317083
352	0.4600203788
353	0.460016179
354	0.4600050165
355	0.4599997366
356	0.4599764278
357	0.4599591267
358	0.4599447108
359	0.4599420582
360	0.4599371375
361	0.4599177354
362	0.4599059298
363	0.4598914722
364	0.4598749974
365	0.4598536529
366	0.4598480176
367	0.4598356037
368	0.45982377
369	0.4598170903
370	0.4598101154
371	0.4598033812
372	0.4597852346
373	0.4597691943
374	0.4597599963
375	0.4597450747
376	0.4597287998
377	0.4597222074
378	0.4597167758
379	0.4597066304
380	0.4596975615
381	0.459691027
382	0.4596779082
383	0.459664089
384	0.4596530362
385	0.4596375374
386	0.4596247378
387	0.4596143245
388	0.4596046982
389	0.4596000011
390	0.4595979356
391	0.459592797
392	0.4595785112
393	0.4595653252
394	0.4595484755
395	0.4595351476
396	0.4595262098
397	0.4595113672
398	0.4594952305
399	0.4594858183
400	0.4594774877
401	0.4594656211
402	0.4594549069
403	0.4594364867
404	0.4594260367
405	0.4594119577
406	0.4594002342
407	0.459387009
408	0.4593800081
409	0.4593711901
410	0.4593568113
411	0.4593518548
412	0.4593489849
413	0.4593400166
414	0.4593367306
415	0.4593347374
416	0.4593275799
417	0.459315437
418	0.4593089293
419	0.4593012767
420	0.4592924524
421	0.4592868617
422	0.4592651454
423	0.459256197
424	0.4592533846
425	0.4592479379
426	0.4592355736
427	0.4592258809
428	0.4592183384
429	0.4592049964
430	0.4591980728
431	0.459194885
432	0.4591850338
433	0.4591689474
434	0.4591526401
435	0.4591401381
436	0.4591316711
437	0.4591191141
438	0.4591098025
439	0.4590978616
440	0.4590929391
441	0.459086109
442	0.4590812025
443	0.4590698916
444	0.4590641008
445	0.4590520645
446	0.4590468683
447	0.4590320579
448	0.4590212192
449	0.4590132461
450	0.459001532
451	0.4589981902
452	0.4589918528
453	0.4589825769
454	0.458976354
455	0.4589732312
456	0.4589626466
457	0.4589517672
458	0.4589461104
459	0.4589445839
460	0.4589348478
461	0.4589273161
462	0.4589208837
463	0.4589099551
464	0.4589038958
465	0.458896669
466	0.4588871795
467	0.4588802653
468	0.4588740914
469	0.4588654882
470	0.4588613967
471	0.4588533248
472	0.4588474197
473	0.4588409786
474	0.4588348931
475	0.4588298746
476	0.4588190968
477	0.4588126338
478	0.458807978
479	0.4588022948
480	0.4587978566
481	0.4587877189
482	0.4587824528
483	0.4587739015
484	0.4587582598
485	0.4587532925
486	0.45874632
487	0.4587419796
488	0.4587353385
489	0.4587187584
490	0.4587067826
491	0.4587014689
492	0.4586974978
493	0.4586931982
494	0.4586871571
495	0.4586747915
496	0.4586693621
497	0.4586594111
498	0.458655523
499	0.4586486356
500	0.4586408539
501	0.4586356388
502	0.4586308775
503	0.4586273903
504	0.4586241848
505	0.4586206929
506	0.4586160655
507	0.4586137322
508	0.4586024188
509	0.4585955706
510	0.4585905727
511	0.458584205
512	0.4585789226
513	0.4585740665
514	0.4585709447
515	0.458567927
516	0.4585657438
517	0.458560695
518	0.4585587364
519	0.458551807
520	0.4585489273
521	0.4585419365
522	0.4585372311
523	0.4585324873
524	0.4585279988
525	0.45851388
526	0.4585112602
527	0.4585060011
528	0.4585002699
529	0.4584911426
530	0.4584867493
531	0.4584842974
532	0.4584822982
533	0.4584760393
534	0.4584683852
535	0.4584616732
536	0.4584584413
537	0.4584549314
538	0.4584475869
539	0.4584437999
540	0.4584327266
541	0.4584282394
542	0.4584213209
543	0.4584152769
544	0.4584067604
545	0.4583912374
546	0.4583813231
547	0.458375787
548	0.4583747389
549	0.4583707247
550	0.4583659327
551	0.4583620063
552	0.4583616519
553	0.45835608
554	0.4583529107
555	0.4583509826
556	0.4583330279
557	0.4583285206
558	0.4583202856
559	0.4583158108
560	0.4583100109
561	0.4583063823
562	0.4583004563
563	0.4582931333
564	0.4582898341
565	0.4582835888
566	0.4582803003
567	0.4582707866
568	0.4582619995
569	0.458257585
570	0.4582522276
571	0.4582468425
572	0.4582446
573	0.4582416383
574	0.4582283626
575	0.4582226211
576	0.4582138391
577	0.4582090853
578	0.4582051139
579	0.4581993401
580	0.4581923374
581	0.4581884829
582	0.4581803346
583	0.4581755648
584	0.4581715295
585	0.4581644573
586	0.458163491
587	0.4581600366
588	0.4581484043
589	0.4581423653
590	0.4581372561
591	0.4581319926
592	0.4581291618
593	0.4581256629
594	0.45812414
595	0.4581222958
596	0.4581187333
597	0.4581137099
598	0.4581109516
599	0.4581039428
600	0.4581028694
601	0.458093259
602	0.4580918836
603	0.4580824573
604	0.4580781019
605	0.45807438
606	0.4580699022
607	0.4580632715
608	0.4580568529
609	0.4580548142
610	0.4580500744
611	0.4580443832
612	0.4580397848
613	0.4580348928
614	0.4580307293
615	0.4580279516
616	0.4580217098
617	0.4580173362
618	0.4580123348
619	0.4580075278
620	0.4580060166
621	0.4580028703
622	0.4579965506
623	0.4579839151
624	0.4579775648
625	0.4579745995
626	0.4579721807
627	0.4579712254
628	0.4579591882
629	0.4579567659
630	0.4579511326
631	0.4579449954
632	0.4579390887
633	0.457937989
634	0.4579323835
635	0.457929634
636	0.4579247776
637	0.4579207502
638	0.4579155958
639	0.4579121881
640	0.4579046168
641	0.4579002261
642	0.457898928
643	0.4578983647
644	0.4578962168
645	0.4578877569
646	0.4578851244
647	0.4578816236
648	0.4578802398
649	0.4578782534
650	0.4578773472
651	0.4578750561
652	0.4578728555
653	0.457870669
654	0.4578662826
655	0.4578609554
656	0.4578565677
657	0.4578559341
658	0.4578537515
659	0.4578486704
660	0.4578463698
661	0.4578448264
662	0.4578402934
663	0.4578356871
664	0.4578334547
665	0.4578315093
666	0.4578264464
667	0.4578251973
668	0.4578223362
669	0.457821206
670	0.4578191245
671	0.4578155994
672	0.4578106768
673	0.4578093504
674	0.4578071116
675	0.4578014893
676	0.4577967274
677	0.4577955141
678	0.4577934473
679	0.4577894159
680	0.4577834863
681	0.4577798898
682	0.4577786486
683	0.4577751916
684	0.4577734926
685	0.4577709341
686	0.4577684478
687	0.4577606994
688	0.4577580775
689	0.4577555703
690	0.4577537953
691	0.4577507413
692	0.4577482001
693	0.4577465356
694	0.4577428934
695	0.4577377489
696	0.4577335368
697	0.457731719
698	0.4577267409
699	0.4577229831
700	0.4577199581
701	0.4577170352
702	0.4577121832
703	0.45770756
704	0.4577048934
705	0.4577022131
706	0.4577008572
707	0.4576966829
708	0.4576941799
709	0.4576921392
710	0.4576904433
711	0.4576858566
712	0.4576851642
713	0.4576841163
714	0.45768063
715	0.4576783178
716	0.4576767227
717	0.4576723787
718	0.4576689246
719	0.4576661245
720	0.4576639217
721	0.4576626422
722	0.4576600578
723	0.4576565213
724	0.4576525491
725	0.4576518446
726	0.4576484711
727	0.4576461743
728	0.4576406478
729	0.4576353932
730	0.4576319472
731	0.4576287985
732	0.4576231805
733	0.4576178985
734	0.4576123928
735	0.4576105031
736	0.4576075358
737	0.457605544
738	0.4576039725
739	0.4576012279
740	0.457597142
741	0.4575947108
742	0.4575907987
743	0.4575892556
744	0.4575861435
745	0.4575816766
746	0.4575804267
747	0.4575795771
748	0.4575777531
749	0.4575755572
750	0.4575728911
751	0.4575717364
752	0.4575698904
753	0.457569366
754	0.4575664885
755	0.457564444
756	0.4575635622
757	0.4575597273
758	0.4575551804
759	0.4575539759
760	0.4575517044
761	0.4575452655
762	0.4575396619
763	0.4575354386
764	0.4575330067
765	0.4575283719
766	0.4575272543
767	0.4575247533
768	0.4575226801
769	0.4575202918
770	0.4575183552
771	0.4575156703
772	0.4575114251
773	0.457509335
774	0.4575065482
775	0.4575050366
776	0.457503096
777	0.4575021057
778	0.4575000109
779	0.4574975612
780	0.4574936149
781	0.45749091
782	0.4574901913
783	0.4574868425
784	0.4574820413
785	0.4574794145
786	0.4574767911
787	0.4574758936
788	0.4574707158
789	0.4574683866
790	0.4574646735
791	0.4574614398
792	0.4574601416
793	0.4574580847
794	0.4574561784
795	0.4574551428
796	0.4574540792
797	0.4574436981
798	0.457436278
799	0.4574316834
800	0.4574298049
801	0.4574208324
802	0.4574153887
803	0.4574132154
804	0.4574116666
805	0.4574076218
806	0.4574047457
807	0.4574034571
808	0.4574002866
809	0.4573975159
810	0.4573959296
811	0.457388525
812	0.4573876835
813	0.4573855669
814	0.4573810669
815	0.4573790406
816	0.4573774544
817	0.4573756316
818	0.4573747113
819	0.4573722881
820	0.4573698846
821	0.4573673609
822	0.4573652733
823	0.457364047
824	0.4573612325
825	0.4573594065
826	0.4573588203
827	0.457357902
828	0.4573571073
829	0.4573501272
830	0.4573460585
831	0.4573454115
832	0.4573417995
833	0.457340407
834	0.4573351207
835	0.4573316726
836	0.4573306758
837	0.4573264957
838	0.457322594
839	0.4573213601
840	0.4573191614
841	0.4573148606
842	0.4573131839
843	0.4573109246
844	0.4573074222
845	0.4573062506
846	0.4573053674
847	0.4573031522
848	0.4573003027
849	0.4572970257
850	0.4572949516
851	0.4572915337
852	0.457288682
853	0.4572836847
854	0.4572806441
855	0.4572776127
856	0.457276967
857	0.4572751848
858	0.4572719044
859	0.4572709608
860	0.4572663553
861	0.4572635563
862	0.4572605165
863	0.457256934
864	0.457254017
865	0.4572516007
866	0.4572503252
867	0.4572489141
868	0.4572464923
869	0.4572456186
870	0.4572434893
871	0.4572413495
872	0.4572377725
873	0.4572362783
874	0.4572337373
875	0.4572323139
876	0.4572297881
877	0.4572288203
878	0.4572280657
879	0.4572265804
880	0.4572252563
881	0.4572232267
882	0.4572212092
883	0.4572179527
884	0.457216436
885	0.457215363
886	0.4572144623
887	0.4572141798
888	0.4572091023
889	0.4572033411
890	0.4572004872
891	0.4571994411
892	0.4571987154
893	0.4571915461
894	0.4571906826
895	0.4571896751
896	0.457186899
897	0.4571853158
898	0.4571810929
899	0.4571785089
900	0.4571757529
901	0.4571744601
902	0.4571736174
903	0.4571714056
904	0.4571686985
905	0.4571668948
906	0.4571654916
907	0.4571628988
908	0.4571617013
909	0.4571613579
910	0.4571606933
911	0.4571589943
912	0.4571573254
913	0.457154567
914	0.4571526728
915	0.4571523643
916	0.457144819
917	0.4571444292
918	0.4571434211
919	0.4571425058
920	0.4571420416
921	0.4571378581
922	0.4571361644
923	0.457134437
924	0.4571326334
925	0.4571322338
926	0.4571301334
927	0.4571295922
928	0.4571268267
929	0.4571249113
930	0.4571229617
931	0.4571222376
932	0.4571211941
933	0.4571194621
934	0.4571187191
935	0.4571158955
936	0.4571140007
937	0.4571109331
938	0.4571107004
939	0.4571097463
940	0.4571057941
941	0.457103653
942	0.4571019033
943	0.4570944843
944	0.4570912047
945	0.4570901241
946	0.4570882361
947	0.4570844269
948	0.457081966
949	0.4570790579
950	0.4570785754
951	0.4570746358
952	0.4570733243
953	0.457072103
954	0.4570705592
955	0.4570681538
956	0.4570650574
957	0.4570629122
958	0.4570616136
959	0.4570613096
960	0.4570575662
961	0.4570547343
962	0.45705346
963	0.4570529176
964	0.4570513854
965	0.4570479943
966	0.4570470957
967	0.4570458826
968	0.4570443258
969	0.457042693
970	0.4570421522
971	0.4570412928
972	0.4570403908
973	0.4570395551
974	0.4570372591
975	0.45703586
976	0.4570353204
977	0.457034475
978	0.4570329525
979	0.4570324183
980	0.4570304995
981	0.4570296393
982	0.457027775
983	0.4570265055
984	0.457025891
985	0.4570224409
986	0.4570204934
987	0.4570194465
988	0.457018152
989	0.4570176141
990	0.4570160898
991	0.4570141876
992	0.4570129309
993	0.4570098986
994	0.457008099
995	0.4570068659
996	0.4570059361
997	0.4570052764
998	0.4570021901
999	0.4570015662
